region,gender,english,math,year,country
"Central","Male",4.212485,6.657833,2012,"Kenya"
"Central","Female",4.354374,6.840807,2012,"Kenya"
"Coast","Male",3.627141,5.855685,2012,"Kenya"
"Coast","Female",3.686607,5.927901,2012,"Kenya"
"Eastern","Male",3.792139,6.105303,2012,"Kenya"
"Eastern","Female",3.883878,6.227303,2012,"Kenya"
"Nairobi","Male",4.250323,6.662714,2012,"Kenya"
"Nairobi","Female",4.364692,6.791569,2012,"Kenya"
"North Eastern","Male",3.421037,5.318013,2012,"Kenya"
"North Eastern","Female",3.244827,4.963765,2012,"Kenya"
"Nyanza","Male",3.671027,6.001158,2012,"Kenya"
"Nyanza","Female",3.771999,6.101998,2012,"Kenya"
"Rift Valley","Male",3.65138,5.839726,2012,"Kenya"
"Rift Valley","Female",3.732964,5.916614,2012,"Kenya"
"Western","Male",3.518607,5.695196,2012,"Kenya"
"Western","Female",3.691153,5.92625,2012,"Kenya"
