region,gender,english,math,year,country
"Central","Male",4.245428,6.770386,2011,"Kenya"
"Central","Female",4.373475,6.919864,2011,"Kenya"
"Coast","Male",3.616029,5.717882,2011,"Kenya"
"Coast","Female",3.680325,5.829203,2011,"Kenya"
"Eastern","Male",3.813391,6.144763,2011,"Kenya"
"Eastern","Female",3.924263,6.25096,2011,"Kenya"
"Nairobi","Male",4.197183,6.647887,2011,"Kenya"
"Nairobi","Female",4.359756,6.676829,2011,"Kenya"
"North Eastern","Male",3.570375,5.539014,2011,"Kenya"
"North Eastern","Female",3.303413,5.103601,2011,"Kenya"
"Nyanza","Male",3.729965,6.080645,2011,"Kenya"
"Nyanza","Female",3.834596,6.241057,2011,"Kenya"
"Riftvalley","Male",3.677794,5.836196,2011,"Kenya"
"Riftvalley","Female",3.772013,5.949822,2011,"Kenya"
"Western","Male",3.560743,5.802909,2011,"Kenya"
"Western","Female",3.748696,6.01868,2011,"Kenya"
